Lamerica (1994),Adventure|Drama
Mute Witness (1994),Comedy|Horror|Thriller
Picture Bride (Bijo photo) (1994),Drama|Romance
"Red Firecracker, Green Firecracker (Pao Da Shuang Deng) (1994)",Drama
"Paris, France (1993)",Comedy
Faces (1968),Drama
Maya Lin: A Strong Clear Vision (1994),Documentary
Heavy (1995),Drama|Romance
"Death in the Garden (Mort en ce jardin, La) (1956)",Drama
"Day the Sun Turned Cold, The (Tianguo niezi) (1994)",Drama
Vive L'Amour (Ai qing wan sui) (1994),Drama
Supercop 2 (Project S) (Chao ji ji hua) (1993),Action|Comedy|Crime|Thriller
Little Lord Fauntleroy (1936),Drama
Female Perversions (1996),Drama
Message to Love: The Isle of Wight Festival (1996),Documentary
Angel Baby (1995),Drama
Prisoner of the Mountains (Kavkazsky plennik) (1996),War
Hotel de Love (1996),Comedy|Romance
Losing Chase (1996),Drama
"Designated Mourner, The (1997)",Drama
Dream With the Fishes (1997),Drama
Gabbeh (1996),Drama
Alien Escape (1995),Horror|Sci-Fi
Night Flier (1997),Horror
Storefront Hitchcock (1997),Documentary|Musical
Taste of Cherry (Ta'm e guilass) (1997),Drama
"Life of Emile Zola, The (1937)",Drama
One Magic Christmas (1985),Drama|Fantasy
Bandit Queen (1994),Drama
Bandits (1997),Drama
Tango (1998),Drama|Musical
Endurance (1999),Documentary|Drama
"Mummy's Ghost, The (1944)",Horror
House of Frankenstein (1944),Horror
Son of Frankenstein (1939),Horror
"Ghost of Frankenstein, The (1942)",Horror
Bedrooms & Hallways (1998),Comedy|Romance
Armour of God (Long xiong hu di) (1987),Action|Adventure|Comedy
And the Ship Sails On (E la nave va) (1983),Comedy|War
Mike's Murder (1984),Mystery
"Brother, Can You Spare a Dime? (1975)",Documentary
"Guardian, The (1990)",Horror|Thriller
On Any Sunday (1971),Documentary
"Funhouse, The (1981)",Horror
"Face in the Crowd, A (1957)",Drama
'night Mother (1986),Drama
Boiling Point (1993),Action|Drama
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971),Drama|Horror
"Vampyros Lesbos (Vampiras, Las) (1971)",Fantasy|Horror|Thriller
"Brandon Teena Story, The (1998)",Documentary
Cool as Ice (1991),Drama
"Good Earth, The (1937)",Drama
Defying Gravity (1997),Drama
Up at the Villa (2000),Drama
The Slipper and the Rose: The Story of Cinderella (1976),Adventure|Children|Fantasy|Musical|Romance
Lured (1947),Crime|Film-Noir|Mystery|Thriller
Lonely Are the Brave (1962),Drama|Western
Butterfly (La lengua de las mariposas) (1999),Drama
Asylum (1972),Horror
Phantasm II (1988),Action|Fantasy|Horror|Sci-Fi|Thriller
And God Created Woman (Et Dieu... créa la femme) (1956),Drama
I'm the One That I Want (2000),Comedy
"Art of War, The (2000)",Action|Thriller
Woman on Top (2000),Comedy|Romance
Get Carter (1971),Action|Crime|Drama|Thriller
Two Ninas (1999),Comedy|Romance
"Big Town, The (1987)",Drama|Romance|Thriller
"Good Morning, Babylon (1987)",Drama
North Shore (1987),Drama|Romance
"End, The (1978)",Comedy
"Circle, The (Dayereh) (2000)",Drama
"King Is Alive, The (2000)",Drama
Big Eden (2000),Drama|Romance
"Misfits, The (1961)",Comedy|Drama|Romance|Western
"Last Dragon, The (1985)",Action|Comedy|Drama
Alaska: Spirit of the Wild (1997),Documentary|IMAX
Above the Law (1988),Action|Crime|Drama
Masquerade (1988),Mystery|Romance|Thriller
American Ninja (1985),Action|Adventure
American Ninja 3: Blood Hunt (1989),Action|Adventure
Dream a Little Dream (1989),Comedy|Drama|Romance
Erik the Viking (1989),Adventure|Comedy|Fantasy
Let It Ride (1989),Comedy
Miracle Mile (1989),Drama|Romance|Sci-Fi
"Package, The (1989)",Action|Thriller
Theremin: An Electronic Odyssey (1993),Documentary
"Battle Creek Brawl (Big Brawl, The) (1980)",Action|Comedy
On the Edge (2001),Drama
Innocence (2000),Drama
Wish Upon a Star (1996),Comedy
Phantom of the Paradise (1974),Comedy|Fantasy|Horror|Musical|Thriller
"Grass Is Greener, The (1960)",Comedy|Romance
Max Keeble's Big Move (2001),Children|Comedy
Funeral in Berlin (1966),Action|Drama|Thriller
"Enforcer, The (1976)",Crime
Seconds (1966),Mystery|Sci-Fi|Thriller
Maelström (2000),Drama|Romance
Richard Pryor Here and Now (1983),Comedy|Documentary
I Think I Do (1997),Comedy
Shogun Assassin (1980),Action|Adventure
Clockstoppers (2002),Action|Adventure|Sci-Fi|Thriller
Bite the Bullet (1975),Action|Adventure|Western
Caveman (1981),Comedy
Fox and His Friends (Faustrecht der Freiheit) (1975),Drama
"Looney, Looney, Looney Bugs Bunny Movie, The (1981)",Animation|Children|Comedy
Blackrock (1997),Drama|Thriller
They All Laughed (1981),Comedy
Bad Influence (1990),Drama|Thriller
Mystery Date (1991),Comedy
"Night of the Shooting Stars (Notte di San Lorenzo, La) (1982)",Drama|War
He Loves Me... He Loves Me Not (À la folie... pas du tout) (2002),Romance|Thriller
"Lizzie McGuire Movie, The (2003)",Children|Comedy|Romance
"Trip, The (2002)",Comedy|Drama|Romance
Friends and Family (2001),Comedy
Step Into Liquid (2002),Documentary
Sgt. Pepper's Lonely Hearts Club Band (1978),Adventure|Musical
Mambo Italiano (2003),Comedy
"Unvanquished, The (Aparajito) (1957)",Drama
I'm No Angel (1933),Comedy
"Passage to India, A (1984)",Adventure|Drama
Dr. Jekyll and Mr. Hyde (1941),Drama|Horror
Latter Days (2003),Comedy|Drama|Romance
"Thief of Bagdad, The (1924)",Action|Adventure|Fantasy
Mr. Toad's Wild Ride (a.k.a. The Wind in the Willows) (1996),Adventure|Animation|Comedy
Kwaidan (Kaidan) (1964),Horror
Maborosi (Maboroshi no hikari) (1995),Drama
"Bang, Bang, You're Dead (2002)",Drama
Dark Days (2000),Documentary
"Seducing Doctor Lewis (Grande séduction, La) (2003)",Comedy
Sammy and Rosie Get Laid (1987),Comedy|Drama
"Razor's Edge, The (1946)",Drama
Totally F***ed Up (1993),Drama
Arizona Dream (1993),Comedy|Drama|Fantasy|Romance
3 Women (Three Women) (1977),Drama
"Enemy Below, The (1957)",Action|Drama|War
Dancing in September (2000),Drama
Undertow (2004),Crime|Drama|Thriller
Love Me If You Dare (Jeux d'enfants) (2003),Drama|Romance
She Done Him Wrong (1933),Comedy|Romance
Gaslight (1940),Mystery|Thriller
"Eclisse, L' (Eclipse) (1962)",Drama
Andrei Rublev (Andrey Rublyov) (1969),Drama|War
Au Hasard Balthazar (1966),Crime|Drama
Hair (1979),Comedy|Drama|Musical
Choose Me (1984),Comedy|Romance
"Sacrifice, The (Offret - Sacraficatio) (1986)",Drama
"Law of Desire (Ley del deseo, La) (1987)",Comedy|Drama|Romance
Prospero's Books (1991),Drama|Fantasy
Shining Through (1992),Drama|Romance|Thriller|War
Visions of Light: The Art of Cinematography (1992),Documentary
Three of Hearts (1993),Comedy|Romance
Sympathy for Mr. Vengeance (Boksuneun naui geot) (2002),Crime|Drama
"Brown Bunny, The (2003)",Drama
Hitler: The Rise of Evil (2003),Drama
"Saddest Music in the World, The (2003)",Comedy|Drama|Fantasy|Musical|Romance
Touch of Pink (2004),Comedy|Drama|Romance
Riding Giants (2004),Documentary
"White Sound, The (Das weiße Rauschen) (2001)",Drama
Zelary (2003),Drama|Romance
Germany Year Zero (Germania anno zero) (Deutschland im Jahre Null) (19,Drama|War
Ice Princess (2005),Children|Comedy|Drama
Knockin' on Heaven's Door (1997),Action|Comedy|Crime|Drama
Walker (1987),Adventure|Drama|War|Western
The Earrings of Madame de... (1953),Drama|Romance
New Police Story (Xin jing cha gu shi) (2004),Action|Crime|Drama
Kids in America (2005),Comedy|Drama
Wild Zero (2000),Action|Comedy|Horror|Romance|Sci-Fi
"Family Stone, The (2005)",Comedy|Drama|Romance
Cul-de-sac (1966),Comedy|Crime|Drama|Thriller
On Probation (Tiempo de Valientes) (2005),Action|Comedy
Green for Danger (1946),Crime|Mystery
Offside (2006),Comedy|Drama
Flicka (2006),Children|Drama
Bobby (2006),Drama
"Secret, The (2006)",Documentary
Amazing Grace (2006),Drama|Romance
Woman on the Beach (Haebyeonui yeoin) (2006),Comedy|Drama
O Lucky Man! (1973),Comedy|Drama|Fantasy|Musical
